"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"129","IUU_20",2030,0.15,22994.2678796345,175597.287207133,5344920.3241751,7.1276401423996,20.7746720645756,7.30492091635842,4,9,27.5590795808455,2253.07857581752
"130","IUU_20",2030,0.2,29949.0586686344,231204.486697133,6883205.50619411,9.28344898437502,27.353482889093,9.40730054410135,4,9,36.060369042176,2983.90525581752
"131","IUU_20",2030,0.25,43367.4858986345,444784.513847133,10427339.5150331,13.4428212711145,52.6218403572268,14.2510806346008,4,11,72.1092729118343,6083.60958581752
"132","IUU_20",2030,0.3,42382.1055486345,391387.364407133,9934953.49610311,13.1373783418177,46.304497495941,13.5781349758347,4,10,62.2710011117981,5263.8192858175
"133","IUU_20",2030,0.35,44161.6141886344,493972.243297133,10850866.9901721,13.6889809100145,58.4411725643323,14.8299170856891,4,11,81.2518378526885,6842.28109581751
"134","IUU_20",2030,0.4,43601.9197286345,437825.155727133,10417438.7833001,13.5154898155618,51.7984883281468,14.2375492706258,4,11,70.7288637205413,5972.00392581752
"135","IUU_20",2030,0.45,26652.4517076344,808754.075527133,9903376.00879711,8.26158439482014,95.6825755522416,13.5349779157632,5,21,149.987860994108,11895.0397114591
"136","IUU_20",2030,0.5,27175.0604606345,807234.369687133,9969660.00315711,8.42357986021835,95.5027812572228,13.6255684779144,5,21,149.547411997277,11856.6049424591
"137","IUU_20",2030,0.55,18516.1758796345,885441.144307133,9050411.9088871,5.7395451411742,104.755316542931,12.3692289585424,6,29,168.969896128718,12947.1887643556
"138","IUU_20",2030,0.6,6484.89915663446,974682.837957133,7641508.76351711,2.010154347605,115.313377829374,10.4436762034928,6,44,192.337858161047,15319.2547393556
"139","IUU_20",2030,0.65,-34998.3029533655,1202771.84243713,2389754.37627211,-10.848586715266,142.298272328445,3.26608549228157,33,66,258.18410163799,34735.5537586857
"140","IUU_20",2030,0.7,-50209.0763863655,1272494.81446713,402585.972558111,-15.5635408893025,150.547100669296,0.55021562777479,33,73,279.772234825418,49275.0739656857
"141","IUU_20",2030,0.75,-47174.3260743655,1256838.69732713,812761.937105104,-14.6228452229218,148.694847114807,1.11080452360071,33,71,274.976665831275,46324.4820106857
"142","IUU_20",2030,0.8,-72950.2976313655,1372406.60701713,-2630030.1478059,-22.6127429896492,162.367526591718,-3.59447121231421,35,79,311.561591078214,72950.2976313655
"143","IUU_20",2030,0.85,-106987.873473366,1497925.91164713,-7120040.21227589,-33.1635286546402,177.217541833616,-9.73098334819317,39,93,354.54592515338,113085.537581254
"144","IUU_20",2030,0.9,-124238.453733366,1558820.04357713,-9399385.49247489,-38.5107712363343,184.421842319252,-12.8461723506594,41,NA,375.76327099231,136029.308064699
"145","IUU_20_legal",2015,0.05,9881.1216145411,151758.179519585,30048964.1932111,3.06289721596716,17.9543002217195,41.0680222971836,6,20,13.1508233113746,5286.9280623654
"146","IUU_20_legal",2015,0.1,18500.1448306345,225661.449727133,33162343.5857431,5.73457592236822,26.6976938554177,45.3230885780035,7,22,22.0544021426177,7020.18706568041
"147","IUU_20_legal",2015,0.15,25135.7122656344,293880.508167133,35466519.4596041,7.79143361685453,34.7685962604951,48.4722136378861,7,24,30.3932720384749,8997.57513568041
"148","IUU_20_legal",2015,0.2,30458.6013336345,364316.691457133,37209525.3725165,9.44139429371605,43.1018036386023,50.8543857898227,8,25,39.2678475347167,10888.4184920614
"149","IUU_20_legal",2015,0.25,33857.8963116345,439875.180727133,38245145.9859341,10.4950895654194,52.0410239491496,52.2697720297539,9,27,49.4055622425713,12985.4582169702
"150","IUU_20_legal",2015,0.3,35097.7933536345,703793.861827133,37887164.2601171,10.8794262172868,83.2648779093779,51.7805171787944,11,38,87.6888401497522,21911.129530336
"151","IUU_20_legal",2015,0.35,34485.8873956344,710184.879127133,37697320.1758971,10.6897508820056,84.0209903224923,51.52105661857,11,38,88.7443181517372,22175.961448336
"152","IUU_20_legal",2015,0.4,34439.7136486344,707480.025427133,37666900.6667671,10.6754381909313,83.7009828241198,51.4794821712384,11,38,88.4494776786511,22077.296315336
"153","IUU_20_legal",2015,0.45,22816.5125446345,958278.720527133,32608385.9096191,7.07254049461331,113.37262939563,44.5659927244334,12,57,129.734363484198,32667.6510346086
"154","IUU_20_legal",2015,0.5,-5329.63712136552,1233382.77282713,21490222.3007871,-1.65205240234297,145.919809144636,29.370760434383,15,70,182.162154161421,46582.3140715113
"155","IUU_20_legal",2015,0.55,-13029.2994393656,1297229.76282713,18403215.1406633,-4.0387525359578,153.47345818248,25.1517371739349,16,72,194.935042707733,50275.8683339579
"156","IUU_20_legal",2015,0.6,-22031.3265123655,1360790.98782713,15030107.0577011,-6.82915272892549,160.993298758605,20.5416988021897,17,74,208.092247152004,54299.1211965716
"157","IUU_20_legal",2015,0.65,-52063.2997363656,1561098.95782713,3524899.2022091,-16.1383031235957,184.691457510694,4.81749181438851,21,78,251.01561813901,69351.9922293556
"158","IUU_20_legal",2015,0.7,-112488.926651366,1857655.40692713,-17233310.4225109,-34.8687156891757,219.776640640091,-23.5528243880653,36,89,320.505934687861,114501.628939467
"159","IUU_20_legal",2015,0.75,-100264.765610366,1802093.44442713,-13171945.8387659,-31.079535646607,213.203181741263,-18.002143499041,36,87,307.188152374174,105022.054447467
"160","IUU_20_legal",2015,0.8,-118032.137668366,1873386.67182713,-18650838.3658999,-36.586970585108,221.637784822079,-25.4901646841123,38,90,324.753563334735,119534.451666217
"161","IUU_20_legal",2015,0.85,-158227.167017366,2031869.28942713,-31145598.3073679,-49.0464107470018,240.387644008069,-42.56679589758,42,98,364.608597140527,155037.108811158
"162","IUU_20_legal",2015,0.9,-214108.611362366,2201911.87482713,-46248959.0743789,-66.3682419100396,260.505146988229,-63.208610795218,52,NA,411.016480896971,216654.904188897
"163","IUU_20_legal",2020,0.05,10604.7938186345,145148.541917133,29665599.9470661,3.28721725428433,17.1723231431405,40.5440770687427,2,12,11.5699587805362,3823.84270568041
"164","IUU_20_legal",2020,0.1,18949.6865806344,211977.799907133,31626729.6178421,5.87392246907095,25.0788001801318,43.224359707746,3,13,20.1057972991212,4806.2471820614
"165","IUU_20_legal",2020,0.15,26902.6337806344,278370.484117133,33346352.8534101,8.33913449538251,32.9336267773257,45.5745746744575,3,15,28.5120681524899,6276.8050820614
"166","IUU_20_legal",2020,0.2,32739.1299746344,345679.645397133,34382081.194412,10.1483003614617,40.8968805084848,46.9901081460472,4,16,37.453365736564,7503.45092697025
"167","IUU_20_legal",2020,0.25,41694.6825886344,602984.759227133,34521959.5117771,12.9242946502581,71.3382924766043,47.1812803215507,6,22,74.8102664964411,13439.434945336
"168","IUU_20_legal",2020,0.3,40559.5543486344,607611.104527133,34233743.3171361,12.5724336711416,71.8856289872853,46.7873742610349,6,22,75.693935691077,13598.962525336
"169","IUU_20_legal",2020,0.35,41637.8578886344,600743.632827133,34553522.4119871,12.9066804337533,71.0731479134065,47.2244174453881,6,22,74.321557953991,13372.997705336
"170","IUU_20_legal",2020,0.4,41751.2770086345,602796.270527133,34552934.9570371,12.9418374858004,71.3159926393309,47.2236145686955,6,22,74.4722004176743,13432.525915336
"171","IUU_20_legal",2020,0.45,18119.1566536344,1051039.34392713,23723858.8781071,5.61647924547554,124.347010391433,32.4234791960469,9,50,154.426842042589,28296.2434364197
"172","IUU_20_legal",2020,0.5,10946.5596686344,1109583.21772713,21330059.6010801,3.39315600408547,131.273255089908,29.1518655240476,10,54,166.68556714341,30737.6955385113
"173","IUU_20_legal",2020,0.55,8480.73213663447,1150437.96532713,20050275.6717121,2.62881197742118,136.106723745205,27.4027804438126,10,56,174.412649010524,32577.1399155113
"174","IUU_20_legal",2020,0.6,2580.12549563445,1205965.93692713,17647410.9718141,0.799773497959489,142.67616122769,24.1187770273214,11,58,185.957068092267,35240.8236699579
"175","IUU_20_legal",2020,0.65,-52752.6179593655,1557384.52882713,-383777.289601892,-16.3519742986408,184.252008555591,-0.524509736348384,24,72,266.533891983257,61640.9095357133
"176","IUU_20_legal",2020,0.7,-68735.9993853655,1627237.41032713,-4724208.28394289,-21.3064173650427,192.516206306074,-6.45659164469101,26,76,284.042436727291,71881.4595843615
"177","IUU_20_legal",2020,0.75,-75981.7742003655,1671595.52342713,-7264817.7205229,-23.5524238786887,197.764153285852,-9.92885126465739,26,76,294.749710930391,77520.4103753615
"178","IUU_20_legal",2020,0.8,-92677.4687563655,1739846.45492713,-11652052.7534029,-28.7276659583892,205.838826548553,-15.924900412801,28,80,312.676595442398,89492.6993806164
"179","IUU_20_legal",2020,0.85,-151888.340222366,1949873.72422713,-26260407.9225229,-47.0815351285971,230.686862151626,-35.8901894641334,36,94,370.205326443862,140228.891628557
"180","IUU_20_legal",2020,0.9,-171336.772363366,2003427.53092713,-30427293.7803209,-53.1100560782769,237.022738916566,-41.5850866398746,40,NA,386.488534278136,162179.192987124
"181","IUU_20_legal",2025,0.05,11953.0885076345,139302.727787133,30092719.1220361,3.70515442886217,16.4807129626372,41.1278223082936,0,1,11.2398822623739,245.840731682052
"182","IUU_20_legal",2025,0.1,21504.5500886345,200858.244467133,32074731.2543023,6.66586539125032,23.7632609628467,43.8366450789495,0,3,19.5327840117022,673.260381682048
"183","IUU_20_legal",2025,0.15,30261.3513176345,263412.392587133,33761239.3058471,9.38025178900618,31.163955666854,46.1416014102187,2,5,27.9588468246627,1082.13359560861
"184","IUU_20_legal",2025,0.2,37011.1430416345,322929.450187133,34972742.2733194,11.4725161175186,38.2053363940514,47.7973666659308,3,6,36.2500624044562,1598.96176216597
"185","IUU_20_legal",2025,0.25,49545.2031186345,560463.021827133,36556209.6595571,15.3577570053661,66.3076045647861,49.9614969669534,4,10,72.8364113537449,5334.12903641966
"186","IUU_20_legal",2025,0.3,48118.0758386345,502886.556027133,36524741.8497671,14.9153837259693,59.495812568129,49.9184898035188,3,10,63.5634234805511,4892.02150216597
"187","IUU_20_legal",2025,0.35,49253.2023486345,624163.551927133,36220273.2129491,15.2672441688297,73.8439261345271,49.5023714746062,4,12,83.8512223251127,6632.02094641967
"188","IUU_20_legal",2025,0.4,50224.3460086345,561627.957227133,36682080.4859741,15.5682740851239,66.4454264599665,50.1335250565947,4,10,72.8388454974959,5351.72524641966
"189","IUU_20_legal",2025,0.45,30639.5086176345,968293.879827133,30774270.0851481,9.49747096579106,114.557509033813,42.0593003442677,6,25,150.707198873782,13486.0115239579
"190","IUU_20_legal",2025,0.5,30536.7547676344,970842.582627133,30706592.5840671,9.46561987708146,114.859042535282,41.9668052717075,6,25,150.985598243451,13564.4398039579
"191","IUU_20_legal",2025,0.55,13879.8795226344,1120153.43042713,26547440.7580371,4.30241079972894,132.523802327783,36.2824782236769,7,44,184.209714109305,17905.9223025716
"192","IUU_20_legal",2025,0.6,15718.8973276344,1110361.50872713,26948075.9196571,4.87245970052978,131.365333621148,36.83002767146,7,42,181.88320543323,17535.0130825716
"193","IUU_20_legal",2025,0.65,-33219.2976293655,1424053.08822713,15274664.7868961,-10.2971401622703,168.477750317222,20.875936688426,28,63,258.887081521915,38143.2391402173
"194","IUU_20_legal",2025,0.7,-42293.3492623655,1464326.97192713,13406907.2485241,-13.1098661430292,173.242497768288,18.3232660626304,28,66,270.1316653679,44816.5552352173
"195","IUU_20_legal",2025,0.75,-66636.9197283656,1576664.93522713,8257081.26254511,-20.65575588264,186.533046757276,11.2849812465906,30,74,300.893434426181,65055.3822956836
"196","IUU_20_legal",2025,0.8,-71405.7465313655,1598305.43302713,7227694.65916711,-22.1339713027238,189.09330410669,9.87811504953542,30,76,306.921432499248,68879.6261736836
"197","IUU_20_legal",2025,0.85,-122212.530728366,1784747.65302713,-2561096.82970089,-37.8827864615445,211.151025163181,-3.50025981032535,36,92,362.790074730431,117412.837252439
"198","IUU_20_legal",2025,0.9,-128171.431065366,1804076.92922713,-3688664.99130289,-39.7298945090321,213.43784508328,-5.0413110793314,38,94,369.021735217033,125665.533818686
"199","IUU_20_legal",2030,0.05,12580.3123456344,132087.417937133,30279031.2764456,3.89957791863799,15.6270796385572,41.3824557679472,0,-15,10.9068091906262,-4503.56753848869
"200","IUU_20_legal",2030,0.1,22951.7274906345,188554.289297133,32143752.6064431,7.11445370020033,22.3075970524329,43.9309767973567,0,-15,18.8241830766107,-4165.48063848869
"201","IUU_20_legal",2030,0.15,31414.5966926345,245137.414157133,33628075.4644091,9.73772862070679,29.0018682570263,45.9596059319656,2,-15,27.143094339938,-3697.16700742839
"202","IUU_20_legal",2030,0.2,38264.0881766345,301236.769537133,34803625.4049041,11.8608973474494,35.6389053638629,47.5662340625488,3,-15,35.6709923931812,-3188.70437188316
"203","IUU_20_legal",2030,0.25,51189.4587986345,516473.845227133,37060988.9251344,15.8674345845995,61.1033059518029,50.6513805183661,4,-5,71.8627182435006,-469.076784182485
"204","IUU_20_legal",2030,0.3,50340.4390186344,462699.514307133,36870684.1978114,15.6042599752883,54.7413392715478,50.3912903956348,4,-15,61.9695890484751,-1388.12680418248
"205","IUU_20_legal",2030,0.35,51858.1169786344,566006.669897133,37207085.7005488,16.0747016700427,66.9634658968568,50.8510514817872,4,-4,81.0432475594364,381.35730581751
"206","IUU_20_legal",2030,0.4,51444.1823486345,509471.601847133,37088235.8014391,15.9463924279063,60.2748802269552,50.6886189175474,4,-5,70.4636625592932,-593.814894182491
"207","IUU_20_legal",2030,0.45,33537.5415596344,882589.268307133,34642453.0519571,10.395787713231,104.41791503969,47.3459592556717,5,13,150.087820987548,5737.46388845914
"208","IUU_20_legal",2030,0.5,34064.8006416344,881073.889017133,34714246.0879171,10.5592246627342,104.238632612814,47.4440790438491,5,13,149.503169290437,5695.56548945914
"209","IUU_20_legal",2030,0.55,25196.0382696345,959651.981047133,33424382.2352571,7.81013314884189,113.535097947485,45.6812176979215,5,17,168.974651200989,7522.85834645914
"210","IUU_20_legal",2030,0.6,13004.4019526344,1049283.21756713,31610062.2335431,4.03103494621768,124.139245511843,43.2015803365296,6,30,192.32976459168,9366.43760735559
"211","IUU_20_legal",2030,0.65,-28797.5280983655,1278168.19085713,25404697.9748471,-8.92650369867108,151.218309979393,34.720687747365,31,63,258.27233919112,28218.608576439
"212","IUU_20_legal",2030,0.7,-44033.2753833655,1348084.06635713,23146427.0973171,-13.6491991337452,159.489960462848,31.634301203218,33,69,279.906009735631,43333.5169616857
"213","IUU_20_legal",2030,0.75,-41014.3726543656,1332372.06595713,23619614.8622171,-12.7134158163613,157.631095437197,32.2810085424367,33,69,275.109459727084,40384.4659816857
"214","IUU_20_legal",2030,0.8,-66870.1125273655,1448211.43495713,19728908.6028071,-20.7280397389372,171.335890889439,26.9635669698802,33,77,311.724291073796,65158.7215276857
"215","IUU_20_legal",2030,0.85,-101223.651446366,1573831.73395713,14789850.0685771,-31.3767659481947,186.197854635499,20.2133387521409,37,91,354.630018061028,104356.441492897
"216","IUU_20_legal",2030,0.9,-118692.422870366,1634720.36015713,12296272.7651071,-36.7916422596245,193.401503745838,16.805358109607,39,99,375.815149247891,126766.751607254
"217","IUU_40",2015,0.05,2264.71332182916,98771.3704427768,3787218.36572947,0.60479265797865,10.0326282763071,5.25325333375323,12,57,13.3691964633789,2932.66415030153
"218","IUU_40",2015,0.1,13322.5373435133,185115.574492409,11170193.8678097,3.5577892766116,18.8029763960128,15.4941839915372,10,26,22.1055236911969,4866.51865966698
"219","IUU_40",2015,0.15,22129.7203745132,265518.682572409,17124142.2237398,5.90975125929682,26.9698621242382,23.7529100615244,10,25,30.3428866299142,6864.95536966698
"220","IUU_40",2015,0.2,29444.6766645132,348782.324792409,22284635.4928807,7.86321345470332,35.4273044739791,30.9110340068554,10,26,39.106794809495,9124.32411966698
"221","IUU_40",2015,0.25,34524.0405745133,438336.786192409,26522885.8563197,9.2196597520601,44.5237320894248,36.7899141507861,10,27,49.1281200727225,11770.590909667
"222","IUU_40",2015,0.3,39557.5831845133,752270.665492409,35164373.5857497,10.5638694517195,76.4113317069745,48.7765280291945,11,36,86.9711511497382,21992.5456537608
"223","IUU_40",2015,0.35,38888.6354745133,759924.129092409,35075173.3300917,10.3852266806103,77.1887265632049,48.6527982900679,11,36,88.0265979452028,22296.9431437608
"224","IUU_40",2015,0.4,38793.4724445133,756708.745992409,34941769.0405917,10.3598133528834,76.8621264232696,48.4677531036339,11,36,87.7628950717397,22197.6245237608
"225","IUU_40",2015,0.45,28343.9035645133,1056304.91799241,35897732.6803947,7.56925152911943,107.293384116732,49.7937709596903,13,54,128.536989847725,33546.831937625
"226","IUU_40",2015,0.5,-1436.43736748677,1386373.79139241,28348167.8363877,-0.383601211300559,140.819883724431,39.321764105254,15,67,180.371740533432,49825.9812662702
"227","IUU_40",2015,0.55,-9737.16136248672,1463070.13929241,25828281.0295077,-2.6003130925326,148.610258052352,35.8264272932259,16,69,192.956321199904,54041.6711162978
"228","IUU_40",2015,0.6,-19664.4395754868,1539487.65069241,22858743.1386967,-5.2513969710363,156.372309770778,31.707379137521,17,71,205.940829929038,58664.6856003302
"229","IUU_40",2015,0.65,-52991.1237174867,1780410.85059241,12195598.7811517,-14.1513021773941,180.843904089047,16.9165238883345,21,76,248.344064525192,75941.3394135423
"230","IUU_40",2015,0.7,-122433.559889487,2137543.31729241,-9177203.54099233,-32.6959343585019,217.119367998678,-12.7297056680184,34,86,316.993261075917,125663.170208983
"231","IUU_40",2015,0.75,-108295.372275487,2070610.01329241,-4902490.64328833,-28.9203253294678,210.320667572363,-6.80024831644158,34,85,303.779237531605,115138.554273983
"232","IUU_40",2015,0.8,-129073.336737487,2156522.73889241,-10767423.8753593,-34.4690895961121,219.047188590399,-14.9355014437544,34,88,321.157837638264,129316.087399983
"233","IUU_40",2015,0.85,-176225.990256487,2347468.56879241,-24227810.6165501,-47.0612258182231,238.442368830482,-33.6064136260649,40,96,360.39550318395,171530.469543171
"234","IUU_40",2015,0.9,-243114.618605487,2552521.92759241,-41160730.2804213,-64.9238625315817,259.27051079537,-57.0940787365169,50,NA,406.031931553416,243114.618605487
"235","IUU_40",2020,0.05,3186.96910751326,90384.1559724092,2349676.13746966,0.851081458677528,9.18070322274499,3.25923746940465,7,27,11.9427908130855,2015.35102060933
"236","IUU_40",2020,0.1,13931.6606125133,168088.569322409,6991703.45468767,3.72045590525032,17.073471046805,9.69819691790533,6,18,20.3003231600879,3426.4098337608
"237","IUU_40",2020,0.15,24226.0862145133,245396.753212409,11262511.8441347,6.46958665049116,24.9259921590245,15.6222383232554,6,17,28.5348979491762,4880.2681937608
"238","IUU_40",2020,0.2,32026.5946545133,324016.882982409,14551152.7968794,8.55271575453252,32.9117731953867,20.1839145669215,6,17,37.3359672511733,6523.52586376079
"239","IUU_40",2020,0.25,45926.1770645133,625716.838792409,21585840.7269307,12.2646051621276,63.5567211600765,29.9417352816869,7,21,74.2212827470314,13202.2241706093
"240","IUU_40",2020,0.3,44617.9044445133,631210.633792409,21297895.8442017,11.9152304012765,64.1147492892212,29.5423267266321,7,22,75.0796772919821,13423.0077606093
"241","IUU_40",2020,0.35,45826.5737645132,623076.824692409,21573291.0017017,12.2380060584045,63.2885636971318,29.9243275487467,6,22,73.7291550124651,13569.6619937608
"242","IUU_40",2020,0.4,45992.5885045133,625488.009092409,21623034.8918847,12.282340365489,63.5334779539897,29.9933273347909,6,22,73.8915893462028,13629.9017737608
"243","IUU_40",2020,0.45,22754.1177945132,1153724.59459241,17956043.7625763,6.07649685647104,117.188715099226,24.9068412876172,10,48,152.949364253198,29149.9431842702
"244","IUU_40",2020,0.5,14774.3133945133,1222926.61379241,16053768.8022267,3.94548668988282,124.217858579681,22.2681943145248,10,52,165.080370938122,32231.1275642702
"245","IUU_40",2020,0.55,12174.9215445133,1271092.03449241,15312100.0470237,3.25131798829201,129.110225259305,21.2394250478601,10,54,172.72910450567,34164.3917042702
"246","IUU_40",2020,0.6,5702.12698451325,1336767.86359241,13333177.5651817,1.52275544187208,135.78119861064,18.4944602422795,11,56,184.134475381245,37072.8882182978
"247","IUU_40",2020,0.65,-56807.2813864867,1752751.72609241,-3128356.88466533,-15.1704087096222,178.0344491497,-4.33934609692689,24,70,263.715833564925,66353.8002055598
"248","IUU_40",2020,0.7,-75152.6927784868,1835555.29979241,-7450967.72880533,-20.0695586419934,186.4451603827,-10.3352427246416,26,74,280.983678958775,78142.1956382693
"249","IUU_40",2020,0.75,-83319.9963934867,1888099.27069241,-9889802.89472533,-22.250640553873,191.782275032802,-13.7181527468832,26,76,291.546015938205,84579.6166932693
"250","IUU_40",2020,0.8,-102531.127068487,1969037.48479241,-14310651.4034053,-27.3809811898014,200.003513755858,-19.8503149101199,28,80,309.203007398645,98414.7177922787
"251","IUU_40",2020,0.85,-171012.973497487,2218242.42459241,-29398540.8403453,-45.6690874705684,225.316319626881,-40.7787372585995,36,94,365.865513021373,157364.348309218
"252","IUU_40",2020,0.9,-193657.856144487,2281862.28249241,-33842264.8674353,-51.7164130343322,231.778459237184,-46.9426300699647,40,100,381.88648792511,182962.774601145
"253","IUU_40",2025,0.05,4341.25685951323,82708.5213124092,1854567.97125807,1.15933449488982,8.40105635763307,2.57247257402516,5,15,11.6805688476635,1290.80675427019
